FOOD,REFUSE (%),WATER (g),ENERGY (Kcal),PROTEIN (g),FAT (g),ASH (g),FIBER (g),CARBOHYDRATE (g),SODIUM (mg),POTASSIUM (mg),CALCIUM (mg),PHOSPHORUS (mg),MAGNESIUM (mg),IRON (mg),ZINC (mg),COPPER (mg),VITAMIN A (ugre),VITAMIN C (mg),THIAMIN (mg),REBOFLAVIN (mg)
Tea with Sugar,8.34,68.02,18.14,0,0,1.66,3.01,4.54,324.9,144.61,105.63,57.51,11.83,4.99,1.89,0.14,540.28,13.21,0.3,0.11
Labneh,14.27,49.04,641.58,53.47,42.77,1.5,6.73,16.04,35.23,470.58,199.22,266.16,84.07,2.63,3.65,0.18,571.99,34.39,0.17,0.28
Taameya Baked,14.85,55.68,862.06,46.69,35.92,1.94,3.04,71.84,105.81,384.8,131.44,277.64,117.39,1.99,0.68,0.09,404.77,11.25,0.27,0.12
Milk Full Fat,1.15,72.35,210.69,10.37,11.34,1.62,3.21,15.56,295.61,145.32,10.94,225.78,76.37,0.98,4.97,0.05,192.5,17.99,0.07,0.36
Yogurt,12.51,56.2,63.7,3.72,3.19,0.97,0.75,5.31,295.77,144.88,138.48,110.53,20.67,1.83,1.32,0.43,372.98,32.74,0.28,0.16
White Cheese,12.1,45.64,1002.98,36.78,83.58,1.57,4.71,10.03,474.75,308.32,128.17,201.64,25.21,3.97,4.69,0.34,189.14,48.93,0.06,0.05
Mahshi Kousa,2.1,58.31,152.91,4.17,4.17,1.05,2.93,25.02,583.07,485.65,131.73,158.29,92.79,3.77,0.95,0.25,712.76,29.93,0.35,0.46
Rice Pudding,1.48,44.48,457.19,11.43,11.43,1.43,0.43,83.82,536.13,281.62,172.51,78.2,78.6,4.91,0.43,0.19,521.59,25.31,0.36,0.07
Koshari,7.63,45.93,939.33,27.19,19.78,1.73,0.35,158.2,52.66,448.54,184.62,233.52,66.71,5.9,0.78,0.07,1.46,22.98,0.04,0.27
Mahshi Pepper,2.87,52.95,224.39,6.12,6.12,1.37,2.32,40.8,12.55,303.42,49.74,280.68,12.07,1.99,3.82,0.34,398.93,39.81,0.14,0.01
Banana,6.09,76.33,337.67,4.17,1.14,1.9,6.93,87.26,326.85,213.78,177.18,112.29,63.58,2.87,4.52,0.08,427.53,49.46,0.2,0.46
Kebab,7.26,56.37,227.89,21.88,14.58,1.36,0.19,0.91,257.11,457.94,57.59,129.55,13.31,5.79,4.79,0.32,42.22,12.81,0.31,0.12
Molokhia with Chicken,8.37,53.39,114.55,5.43,4.22,0.72,5.51,14.47,141.38,447.76,142.22,249.58,88.48,0.63,2.07,0.06,543.78,30.86,0.1,0.28
Atayef,1.94,67.38,514.1,9.64,19.28,2.14,5.44,64.26,184.22,520.8,125.51,209.6,63.75,2.88,2.48,0.07,341.61,36.63,0.46,0.44
Tea with Sugar,11.87,53.68,81.48,0,0,0.85,2.28,20.37,325.14,589.71,155.1,83.01,116.93,3.8,4.15,0.43,35.23,35.98,0.3,0.25
Kofta,14.64,73.2,369.79,28.45,25.6,1.31,4.43,7.11,225.86,163.67,19.3,186.08,27.32,5.28,4.8,0.24,39.79,22.22,0.15,0.26
Grilled Chicken Breast,3.92,73.76,262.22,49.27,5.72,1.82,3.69,0,500.33,345.85,26.98,132.45,101.05,3.03,2.05,0.38,130.41,0.52,0.15,0.42
Atayef,11.73,47.16,1327.78,24.9,49.79,2.41,4.81,165.97,567.71,548.82,108.7,271.03,85.57,2.95,1.94,0.46,663.66,17.03,0.06,0.48
Green Lentils Cooked,7.46,41.64,180.26,13.99,0.62,0.75,0.44,31.08,368.39,169.96,37.73,86.64,85.68,0.32,0.58,0.4,266.29,36.03,0.16,0.26
Yogurt,6.69,64.36,106.49,6.21,5.32,2.25,4.96,8.87,556.59,540.49,79.27,156.45,92.52,3.71,4.01,0.22,111.72,2.3,0.06,0.19
Mahshi Pepper,8.3,55.74,305.3,8.33,8.33,2.4,6.14,55.51,276.75,450.9,101.54,50.9,22.7,2.26,1.63,0.29,560.35,5.7,0.42,0.28
Kaak,8.49,68.98,1091.29,15.59,57.16,1.9,0.65,77.95,132.74,441.15,24.35,277.44,102.63,3.99,1.26,0.4,306.76,41.4,0.36,0.31
Kaak,6.36,62.87,1810.33,25.86,94.83,2.06,4.67,129.31,24.71,380.8,141.1,155.66,66.69,1.75,3.57,0.01,595.75,37.26,0.22,0.15
Mahshi Kousa,5.45,79.76,314.32,8.57,8.57,1.31,1.81,51.43,408.16,389.57,109.46,196.27,72.85,1.04,0.25,0.46,722.95,17.05,0.09,0.03
Black Coffee,7.44,40.34,7.84,0,0,2.11,0.7,0,310.09,341.1,181.16,279.97,119.88,4.22,3.55,0.04,377.5,49.9,0.32,0.07
Baladi Bread,13.8,57.19,1065.76,35.53,5.99,0.93,5.67,211.56,168.22,379.14,186.71,279.69,33.37,4.81,2.81,0.1,126.05,50.06,0.11,0.36
Konafa,12.55,63.5,560.71,12.82,24.03,1.54,2.84,72.09,73.3,348.71,66.19,146.65,13.21,1.5,0.86,0.3,584.34,51.42,0.04,0.21
Molokhia with Chicken,5.22,52.03,152.41,7.22,5.61,2.09,5.62,19.25,427.37,341.03,47.92,151.45,51.56,0.63,0.34,0.15,568.97,37.29,0.06,0.35
Beef Lean,4.71,71.28,440.25,45.79,29.94,1.42,6.83,0,265.61,275.09,179.34,242.41,72.65,4.54,2.34,0.23,610.3,41.63,0.38,0.48
Pasta Cooked,4.4,69.89,592.88,21.76,3.38,1.53,4.12,115.95,475.83,340.24,188.96,241.32,96.71,3.85,4.35,0.04,148.28,20.96,0.28,0.2
Freekeh Cooked,3.92,56.56,355.03,14.2,5.33,1.9,6.34,71.01,345.79,592.95,114.74,237.48,106.85,5.5,0.93,0.12,773.76,53.77,0.1,0.18
Chicken Liver,6.47,55.14,771.51,112.22,23.38,2.25,7.24,4.68,236.24,441.04,94.49,161.97,59.12,5.63,4.6,0.38,363.6,42.85,0.19,0.28
Banana,12.35,48.96,152.77,1.89,0.51,1.68,3.24,39.48,24.98,509.44,190.46,263.62,71.42,2.19,2.73,0.12,279.24,32.76,0.34,0.15
Lamb,9.27,51.89,1228.96,104.5,87.78,1.19,4.27,0,541.08,140.62,104.1,198.56,76.65,5.43,0.62,0.02,460.85,43.74,0.3,0.18
White Bread,12.76,63.89,810.58,27.53,9.79,1.37,7.13,149.88,351.71,144.9,125.76,179.06,64.36,1.07,1.86,0.26,349.15,2.37,0.08,0.06
Freekeh Cooked,2.91,44.48,450.34,18.01,6.76,2.42,3.21,90.07,65.83,169.46,170.17,66.66,14.06,3.78,0.31,0.21,4.28,54.84,0.07,0.06
Mahshi Mixed,2.63,70.03,563.96,24.17,20.14,2.16,5.15,72.51,489.74,221.49,105.28,281.31,24.22,3.4,2.6,0.1,641.73,38.01,0.32,0.05
Shorbat Freekeh,1.23,75.59,416.29,21.91,13.15,1.15,2.48,65.73,54.7,146.47,72.92,228.85,46.05,2.13,1.39,0.46,39.54,10.82,0.39,0.38
Bamia,1.82,79.46,239.79,11.28,8.46,1.21,0.11,28.21,523.29,593.35,155.94,85.78,61.45,5.55,1.86,0.38,83.29,6.52,0.14,0.31
Pasta Cooked,0.72,45.11,471.58,17.31,2.69,2.3,4.8,92.23,451.98,406.9,194.67,275.9,30.56,3.35,2.18,0.48,237.43,21.45,0.21,0.49
Sahlab,9.81,59.63,302.31,6.05,10.08,1.45,7.05,50.38,582.68,200.4,108.81,135.23,114.34,2.06,2.74,0.32,156.77,28.61,0.41,0.31
Shorbet Adas,1.05,52.01,196.7,9.84,4.92,1.69,4.91,29.51,91.7,377.98,116.77,223.52,100.4,5.05,4.24,0.15,54.3,57.3,0.44,0.23
Grilled Fish,13.4,68.07,638.62,104.92,22.81,1.44,3.68,0,250.06,102.9,52.74,279.13,46.48,3.54,2.29,0.09,337.92,50.31,0.08,0.18
Milk Full Fat,3.85,48.25,80.81,3.98,4.35,0.56,0.4,5.97,591.04,512.13,62.63,91.41,19.66,3.53,0.96,0.26,586.5,14.48,0.24,0.02
Ful Medames,5.86,57.79,515.22,34.35,15.27,1.55,3.02,76.33,304.34,244.83,29.19,233.79,91.08,1.23,1.08,0.15,579.67,45.05,0.1,0.24
Black Eyed Peas,0.54,56.78,471.62,25.39,5.44,1.03,5.46,79.81,592.69,391.14,133.16,263.74,18.11,4.37,1.71,0.33,451.69,45.08,0.28,0.41
Tamarind Drink,11.17,54.38,198.18,2.38,0.79,1.93,4.63,51.53,229.09,183.23,188.51,62.57,93.95,4.31,1.54,0.48,512.57,4.4,0.05,0.35
Shorbat Freekeh,10.41,77.57,359.36,18.91,11.35,2.28,4.25,56.74,469.51,302.48,163.74,235.04,23.89,0.52,4.57,0.44,361.54,27.1,0.26,0.47
Black Eyed Peas,12.4,63.92,577.29,31.09,6.66,0.84,2.36,97.7,206.41,534.05,68.52,111.25,101.85,5.23,3.73,0.41,60.12,4.12,0.13,0.08
Vegetable Oil,11.1,68.95,2526.21,0,285.77,0.76,0.98,0,195.33,202.21,102.68,194.69,12.53,1.04,1.91,0.15,287.72,16.71,0.06,0.19
Omelette,14.96,69.31,219.53,15.85,15.85,1.57,3.49,2.44,357.74,322.77,23.14,52.41,40.42,3.68,2.22,0.27,285.68,38.35,0.42,0.34
Milk Full Fat,2.51,78,288.67,14.21,15.54,2.37,4.2,21.32,435.56,434.59,195.89,237.26,62.56,4.35,3.31,0.03,183.77,10.95,0.22,0.17
Kaak,1.55,79.22,679.31,9.7,35.58,0.64,0.89,48.52,140.28,260.95,55.74,233.87,46.97,2.69,2.82,0.07,45.73,39.06,0.48,0.2
Labneh,9.37,74.77,440.51,36.71,29.37,2.18,7.04,11.01,164.7,587.99,191.49,103.22,57.42,3.49,0.99,0.33,481.07,37.99,0.3,0.41
Chicken Thigh Stewed,3.69,42.33,469.51,58.13,24.59,2.4,3.08,0,368,302.74,49.52,81.77,35.49,4.75,0.92,0.16,145.4,48.14,0.18,0.02
Bamia,12.13,66.58,345.71,16.27,12.2,1.03,2.75,40.67,150.92,502.75,186.31,250.62,61.77,0.92,3.45,0.28,660.01,1.09,0.49,0.15
Dates,14.06,59.71,1213.82,10.76,1.72,1.61,3.98,322.82,409.31,156.51,116.44,61.1,84.42,0.7,1.22,0.31,171.6,35.3,0.47,0.35
Freekeh Cooked,2.43,58.7,278.35,11.13,4.18,1.69,6.16,55.67,409.3,363.61,36.64,134.07,22.18,2.34,4.35,0.28,47.18,25.3,0.37,0.4
Fried Fish,2.24,73.15,820.39,74.58,52.21,2.4,5.96,0,134.78,397.76,121.27,161.56,28.86,3.19,1.48,0.36,704.63,19.95,0.38,0.23
Baladi Bread,2.04,42.94,973.02,32.43,5.47,0.72,8,193.15,38.26,527.73,130.65,187.45,36.2,5.22,2.13,0.46,748.29,28.87,0.01,0.37
Shorbet Adas,9.37,69.96,246.09,12.3,6.15,1.1,5.51,36.91,525.03,216.69,105.86,237.59,60.39,1.53,1.5,0.15,93.67,38.26,0.16,0.23
Dates,11.05,59.54,734.14,6.51,1.04,1.6,0.77,195.25,378.92,333.67,70.94,171.19,10.38,1.8,1.01,0.05,707.56,14.74,0.28,0.38
Freekeh Cooked,5.13,47.19,424.07,16.96,6.36,0.86,2.12,84.81,29.59,430.72,14.42,80.82,60.88,0.36,0.58,0.28,569.15,31.47,0.13,0.42
Beef Lean,1.54,76.43,794.31,82.61,54.01,0.8,2.13,0,552.73,107.46,133.69,153.14,92.74,5.76,1.26,0.28,121.33,56.02,0.2,0.47
Black Coffee,12.95,40.92,4.55,0,0,1.34,3.74,0,331.82,162.09,78.53,289.64,77.37,5.84,4.51,0.35,273.59,51.29,0.1,0.28
Labneh,12.58,75.4,227.27,18.94,15.15,2.42,7.32,5.68,174.44,461.53,158.77,115.14,19.95,5.44,3.92,0.15,526.41,31.67,0.39,0.15
Black Eyed Peas,9.49,76.24,260.2,14.01,3,1.17,2.55,44.03,373.52,289.48,28.75,217.68,17.59,5.36,2.62,0.04,82.13,27.44,0.16,0.47
Tamarind Drink,12.36,50.06,210.06,2.52,0.84,1.94,3.05,54.62,555.52,214.14,117.36,238.19,54.23,0.97,0.7,0.43,196.96,32.38,0.05,0.14
Baladi Bread,1.57,69.63,567.9,18.93,3.19,1.57,1.83,112.73,226.61,138.15,112.64,133.31,19.63,1.93,2.56,0.33,288.99,6.94,0.49,0.07
Kofta,5.29,64.48,1009.75,77.67,69.91,0.86,5.01,19.42,173.55,103.03,108.57,57.54,46.3,1.71,1.93,0.3,361.91,15.35,0.14,0.11
Shorbet Adas,2.11,44.72,45.6,2.28,1.14,2.38,3.08,6.84,457.58,570.13,115.14,121.31,46.97,4.31,1.56,0.25,745.13,30.65,0.13,0.33
Orange,3.17,54.08,120.66,2.31,0.26,2.34,2.54,30.81,551.66,123.96,49.42,140.33,57.91,0.44,0.44,0.22,88.14,18.61,0.34,0.27
White Cheese,6.73,71.71,1036.4,38,86.37,1.3,6.97,10.36,524.89,545.34,58.52,64.46,92.29,3.16,3.16,0.15,590.36,51.13,0.23,0.23
Shorbet Adas,12.29,77.15,117.98,5.9,2.95,2.03,6.72,17.7,315.54,445.28,146.59,160.83,67.12,1.67,2.69,0.38,279.18,53.56,0.04,0.23
Black Coffee,13.59,42.69,8.48,0,0,0.83,0.43,0,418.79,274.26,193.99,129.6,78.05,1.87,1.49,0.42,490.94,21.11,0.24,0.24
Molokhia with Chicken,2.66,41.05,466.87,22.12,17.2,2.29,2.42,58.97,127.45,286.3,151.26,139.23,103.88,2.43,0.79,0.32,32.65,46.2,0.33,0.14
Kashkaval Cheese,3.36,55.92,620.61,44.33,49.65,2.33,1.12,3.55,338.38,379.63,157.48,167.6,88.43,4.16,0.72,0.12,346.61,13.34,0.38,0.29
Sobia,6.31,53.46,218.94,3.13,7.82,0.97,6.26,31.28,341.17,335.29,120.49,247.07,28.91,0.77,4.57,0.32,160.7,30.45,0.01,0.02
Milk Full Fat,8.99,76.96,206.9,10.19,11.14,1,3.21,15.28,561.47,452.02,90.16,266.17,118.82,2.62,1.57,0.16,702.89,2.37,0.18,0.08
Labneh,4.55,53.47,506.69,42.22,33.78,2.21,5.53,12.67,550.98,101.65,75.55,278.18,40.4,2.02,0.97,0.03,226.41,45.6,0.4,0.1
Shorbet Adas,2.72,61.11,61.1,3.05,1.53,2.2,3.26,9.16,154.25,230.9,69.37,155.53,101.23,0.41,0.35,0.1,158.59,57.69,0.03,0.07
Fried Fish,5.96,74.23,751.96,68.36,47.85,2.19,7.01,0,590.1,550.85,128.59,234.75,106.83,2.55,0.3,0.06,515.43,41.82,0.26,0.38
Zucchini Stew,2.44,50.9,309.7,6.88,10.32,1.41,5.39,41.29,238.69,424.01,122.78,185.5,110.06,3.84,1.29,0.39,248.52,55.47,0.44,0.01
Mahshi Kousa,0.76,55.22,469.27,12.8,12.8,2.24,1.52,76.79,92.38,519.86,36.22,250.44,88.04,4.74,2.96,0.32,711.36,16.48,0.26,0.15
Sobia,10.54,46.67,527.11,7.53,18.83,1.38,0.41,75.3,506.03,254.19,78.81,192.19,73.87,5.96,0.3,0.34,358.35,1.65,0.35,0.24
Shorbet Adas,2.78,43.51,39.09,1.95,0.98,0.59,5.55,5.86,561.26,348.42,179.3,172.5,30.04,0.39,0.73,0.15,95.89,14.35,0.16,0.15
Beef Liver,13,63.87,576.96,94.41,13.99,1.52,4.42,13.99,134.06,561.55,87.36,197.74,42.58,1.05,1.47,0.22,502.88,52.02,0.09,0.38
Mahshi Vine Leaves,12.26,66.21,437.82,7.3,14.59,1.34,1.97,65.67,463,122.77,91.66,94.24,58.41,1.91,1.33,0.42,730.53,18.99,0.34,0.1
Zucchini Stew,13.43,73.68,78.11,1.74,2.6,0.92,2.05,10.41,388.89,257.37,115.9,144.5,43.56,0.89,4.16,0.26,221.14,44.4,0.12,0.27
Moussaka Egyptian,12.66,57.76,411.56,18.99,18.99,1.33,4.95,37.99,254.13,521.91,11.88,195.23,20.06,4.19,0.63,0.31,48.15,13.82,0.24,0.42
Fried Fish,0.63,69.85,112.95,10.27,7.19,2.37,0.39,0,572.76,558.59,68.2,268.35,72.07,4.73,1.13,0.38,592.68,28.81,0.49,0.48
Mahshi Kousa,1.28,47.15,271.25,7.4,7.4,1.42,1.5,44.39,443.81,413.22,133.32,283.62,103.96,0.86,4.11,0.36,48.22,22.72,0.39,0.06
Sobia,3.54,75.04,129.18,1.85,4.61,1.96,6.35,18.45,550.8,476.26,167.86,79.82,82.93,1.15,0.26,0.09,392.44,42.72,0.46,0.16
Molokhia,14.58,48.66,181.55,11.55,6.6,1.92,4.19,19.81,339.13,148.47,129.19,104.11,32.23,3.83,0.44,0.31,533.55,53.1,0.28,0.07
Sobia,13.09,57.71,93.34,1.33,3.33,0.67,1.39,13.33,389.59,147.69,112.92,258.66,104.26,0.73,0.54,0.08,723.92,0.25,0.47,0.22
Milk Full Fat,10.83,69.95,53.6,2.64,2.89,0.94,3.67,3.96,248.1,540.08,175.45,63.7,10.9,5.53,0.35,0.3,641.83,46.28,0.29,0.1
Cooked White Rice,8.02,45.78,254.4,4.7,0.59,1.19,0.36,54.79,178.65,557.94,12.99,269.76,112.94,4.23,1.17,0.33,630.2,41.98,0.22,0.22
Kebab,12.18,79.82,633.57,60.82,40.55,1.86,5.88,2.53,452.68,598.8,13.48,238.02,34.6,3.69,2.15,0.33,754.99,48.2,0.22,0.26
Cooked White Rice,11.8,73.12,118.41,2.19,0.27,0.6,2.44,25.5,534.38,347.23,164.65,148.05,42.36,1.85,3.52,0.44,685.26,13.28,0.1,0.03
White Bread,12.02,59.05,743.08,25.24,8.97,0.69,0.68,137.4,78.18,424.69,72.68,115.56,105.38,1.3,2.19,0.1,204.65,28.32,0.05,0.25
Chicken Thigh Stewed,8.05,63.68,151.99,18.82,7.96,2.26,3.16,0,67.53,343.96,179.12,84.53,41.35,3.48,4.1,0.34,85.49,56.62,0.26,0.41
Qatayef Asafiri,4.87,45.85,942.75,15.71,37.71,0.99,2.08,125.7,420.14,270.39,99.75,277.66,61.3,3.63,0.62,0.24,484.37,0.31,0.26,0.19
Moussaka Egyptian,5.02,75.34,222.44,10.27,10.27,2.36,6.16,20.53,381.92,311.38,191.76,131.74,67.38,1.16,0.4,0.27,59.08,20.22,0.14,0.28
Milk Full Fat,12.5,45.06,269.36,13.26,14.5,1.14,6.23,19.89,108.31,229.25,24.56,265.89,20.51,3.56,0.78,0.41,333.21,42.79,0.49,0.48
Black Eyed Peas,13.26,60.58,480.98,25.9,5.55,0.99,0.44,81.4,458.67,383.65,192.25,145.95,77.32,4.05,2.72,0.3,754.67,37.41,0.28,0.05
Imam Bayildi,9.43,45.35,584.96,10.32,30.97,1.83,7.88,68.82,555.23,520.08,58.78,158.43,75.46,0.36,1.41,0.17,692.38,14.89,0.38,0.4
Chickpeas Cooked,0.03,72.6,472.28,25.92,7.49,0.93,1.63,77.75,250.19,329.77,64.4,245.42,112.28,5.38,1.77,0.03,322.4,53.1,0.38,0.22
Tea with Sugar,7.7,75.49,45.95,0,0,2.21,0.99,11.49,504.46,138.35,62.18,58.38,42.74,1.83,1.29,0.14,5.63,51.26,0.32,0.28
Green Lentils Cooked,1.62,67.32,170.99,13.27,0.59,1.26,4.86,29.48,480.44,264.55,153.22,88.53,45.75,2.07,2.87,0.17,297.12,18.8,0.49,0.45
Yogurt,5.5,66.42,95.18,5.55,4.76,0.94,6.01,7.93,37.64,516.94,123.23,64.5,24.01,5.78,2.06,0.19,291.92,54.85,0.06,0.14
Grilled Chicken Breast,3.12,78.95,454.11,85.32,9.91,0.86,4.08,0,511.12,188.86,167.38,92.04,61.11,4.4,0.78,0.01,16.06,17.42,0.32,0.15
Kaak,10.57,56.76,706.89,10.1,37.03,1.82,4.19,50.49,21.98,335.39,20.74,223.14,91.02,5.48,1.8,0.15,240.54,56.46,0.42,0.36
Mango,4.45,74.65,125.4,1.67,0.84,1.57,4.91,31.35,482.23,374.56,179.67,85.95,84.49,4.05,4.07,0.03,584.48,47.86,0.48,0.23
Sahlab,13.98,54.81,241.41,4.83,8.05,1.92,6.08,40.23,425.05,570.33,145.56,128.48,104.2,5.51,4.85,0.13,252.54,37.21,0.13,0.44
Chickpeas Cooked,9.43,60.18,745.69,40.92,11.82,1.21,4.14,122.77,362.94,530.12,139.91,69.05,107.46,1.47,1.34,0.02,347.5,6.16,0.08,0.31
Om Ali,1.68,77.5,741.23,20.22,26.95,2.27,3.62,101.08,146.63,376.51,140.81,218.31,94.82,3.44,3.07,0.36,640.47,19.5,0.02,0.25
Shorbat Freekeh,8.21,49.05,342.27,18.01,10.81,1.56,4.78,54.04,498.86,548.47,42.01,193.3,90.53,3.39,0.86,0.24,53.22,57.14,0.1,0.29
Hawawshi,6.06,58.76,1113.64,46.7,43.11,1.39,4.01,122.14,293.57,438.82,36.88,82.1,112.68,1.78,4.67,0.37,397.3,5.84,0.42,0.21
Green Lentils Cooked,14.68,46.78,447.14,34.69,1.54,2.11,5.89,77.09,168.29,375.91,19.98,209.05,10.32,0.86,3.8,0.48,517.17,58.56,0.16,0.48
Omelette,6.4,60.76,727.8,52.56,52.56,1.04,3.85,8.09,490.69,166.21,148.86,217.69,117.5,5.8,4.98,0.12,26.68,4.58,0.38,0.05
Atayef,0.55,48.43,610.87,11.45,22.91,1.87,4.25,76.36,355.99,338.21,64.42,96.27,31.79,0.53,4.53,0.03,411.66,28.67,0.25,0.4
Mahshi Kousa,3.7,51.69,417.79,11.39,11.39,0.97,6.94,68.36,81.99,299.72,150.59,220.55,19.63,3.87,1.19,0.35,367.41,17.66,0.21,0.32
Mahshi Vine Leaves,7.33,64.13,464.68,7.74,15.49,1.29,1.6,69.7,247.31,375.94,65.21,127.91,35.74,3.93,3.98,0.35,565.99,29.97,0.36,0.45
Chickpeas Cooked,4.4,67.63,554.2,30.41,8.79,1.77,2.96,91.24,307.89,225.48,47.87,58,98.84,5.89,2.71,0.12,591.33,21.97,0.07,0.03
Sobia,6.9,78.62,105.49,1.51,3.77,0.88,4.49,15.07,85.06,596.35,161.09,267.73,24,2.64,1.31,0.21,234.07,19.27,0.15,0.32
Beef Lean,1.01,63.93,797.92,82.98,54.26,2.28,7.58,0,125.31,208.68,130.18,259,26.6,5.88,2.3,0.02,38.49,58.85,0.48,0.26
Mahshi Vine Leaves,0.06,64.09,222.46,3.71,7.42,1.07,5.33,33.37,94.8,264.86,126.05,109.3,104.65,3.94,1.09,0.11,387.73,38.74,0.28,0.33
Freekeh Cooked,13.6,74.52,293.41,11.74,4.4,1.71,0.79,58.68,596.21,352.46,162.8,90.9,65.25,2.02,2.06,0.06,712.76,49.16,0.14,0.31
Chickpeas Cooked,5.54,79.5,333.92,18.33,5.29,1.12,0.98,54.98,445.88,233.28,80.76,256.57,60.69,1.35,2.32,0.44,77.08,1.13,0.45,0.18
Labneh,5.23,46.75,68.63,5.72,4.58,2.23,4.43,1.72,63.62,500.61,105.34,217.49,91.13,1,1.57,0.45,282.07,19.43,0.05,0.45
White Cheese,9.27,60,395.18,14.49,32.93,2.4,4.37,3.95,514.09,394.39,178.65,101.16,112.26,3.44,4.71,0.29,295.24,40.02,0.32,0.16
Chickpeas Cooked,11.53,75.81,694.29,38.1,11.01,1.07,0.1,114.3,319.34,297.62,110.41,131.85,16.15,3.58,0.42,0.24,676.94,49.88,0.13,0.37
Apple,6.89,43.8,46.38,0.27,0.18,1.95,7.93,12.49,335.63,418.89,160.22,261.55,105.78,5.19,2.7,0.46,287.82,24.21,0.36,0.11
Karkade,7.52,69.25,19.83,0.07,0,1,5.98,4.63,281.95,533.74,170.88,159.05,96.2,5.73,2.47,0.4,539.9,9.12,0.03,0.04
Mahshi Mixed,10.11,70.35,194.02,8.32,6.93,1.39,0.33,24.95,133.84,312.99,10.26,183.88,77.39,4.37,1.11,0.22,398.69,18.88,0.23,0.09
Ghee,11.24,46.13,1046.86,0,116.32,1.21,1.16,0,267.33,499.31,147.47,82.79,41.94,4.61,4.1,0.21,686.39,43.37,0.04,0.05
Baladi Bread,10.87,47.08,463.73,15.46,2.61,2.47,4.03,92.05,312.26,149.63,54.6,270.12,25.21,3.4,0.77,0.04,167.84,17.83,0.38,0.31
Koshari,10.42,44.24,461.49,13.36,9.72,1.02,4.25,77.73,224.25,257.19,180.82,153.95,31.84,0.52,2.85,0.13,264.52,29.59,0.01,0.13
White Cheese,4.22,75.69,1510.29,55.38,125.86,1.3,7.23,15.1,107.23,206.62,18.63,265.69,84.17,5.37,4.41,0.4,36.91,26.29,0.26,0.16
Banana,9.31,43.13,323.26,4,1.09,2.08,6.55,83.54,97.62,439.44,154.77,298.99,88.58,0.57,1.1,0.37,680.99,35.89,0.21,0.28
Grilled Fish,14.97,62.15,298.82,49.09,10.67,1.51,6.26,0,349.03,323.93,166.46,57.75,110.01,2.92,2.56,0.46,397.88,43.01,0.14,0.29
Shorbet Adas,7.45,76.64,192.19,9.61,4.8,1.17,2.61,28.83,348.91,381.79,42.64,65.19,95.98,4.55,3.45,0.29,7.05,25.91,0.09,0.25
Roasted Chicken,2.1,50.81,471.12,56.09,24.68,1.81,6.76,0,315.62,388.95,187.39,251.98,14.53,0.74,3.38,0.04,22.97,2.89,0.32,0.46
Apple,7.7,77.85,144.78,0.84,0.56,1.81,6.34,38.98,184.86,224,25.04,61.31,94.8,1.44,2.85,0.41,752.53,27.14,0.21,0.22
Mahshi Pepper,5.21,46.8,179.02,4.88,4.88,1.82,7.15,32.55,238.69,576.73,93.83,255.07,104.74,4.91,3.88,0.27,60.91,48.89,0.13,0.17
Grilled Fish,6.62,73.18,241.22,39.63,8.61,2.38,5.61,0,480.77,559.34,118.25,193.07,36.67,1.56,3.3,0.17,228.72,51.55,0.14,0.28
Omelette,14.39,73.91,845.9,61.09,61.09,2,3.6,9.4,584.69,291.54,65.15,136.58,100.16,0.78,0.35,0.07,732.77,38.78,0.23,0.4
Moussaka Egyptian,9.57,71.3,509.77,23.53,23.53,1.85,3.71,47.06,330.46,505.34,79.06,296.18,96.58,5.16,4.61,0.18,45.15,27.26,0.41,0.36
Atayef,12.22,71.65,751.81,14.1,28.19,0.96,1.42,93.98,575.58,172.57,197.48,129.96,60.12,3.78,2.69,0.31,238.9,31.33,0.38,0.38
Chicken Liver,2.8,57.21,529.9,77.08,16.06,1.32,1.48,3.21,285.53,552.03,101.73,100.62,47.05,0.41,3.14,0.06,49.16,45.15,0.3,0.04
Kashkaval Cheese,13.09,59.31,213.8,15.27,17.1,1.41,7.37,1.22,112.49,277.37,194.92,229.19,63.24,2.55,4.64,0.05,23.72,38.19,0.36,0.02
Kebab,10.85,59.64,1203.13,115.5,77,1.11,2.49,4.81,533.58,144.74,73.74,51.25,75.39,5.01,1.63,0.3,572.84,8.23,0.04,0.16
Kashkaval Cheese,6.15,78.07,844.76,60.34,67.58,1.21,6.98,4.83,231.6,375.98,57.32,55.49,71.27,1.2,2.62,0.05,317.72,14.56,0.38,0.07
Milk Full Fat,4.88,70.01,147.94,7.28,7.97,2.46,1.27,10.92,375.83,525.63,17.82,77.53,65.41,5.63,3.22,0.16,786.57,22.28,0.33,0.14
Konafa,8.22,68.05,1106.65,25.29,47.43,2.24,1.21,142.28,404.97,182.62,66.3,297.17,117.58,4.6,0.41,0.38,605.91,40.34,0.28,0.48
Pasta Cooked,11.34,54.73,752.04,27.61,4.28,1.81,7.7,147.08,141.07,190,170.92,112.9,13.7,1.04,1.18,0.09,74.72,43.2,0.22,0.21
Kebab,12.77,51.98,271.44,26.06,17.37,0.55,6.71,1.09,219.53,325.58,113.62,235.98,119.18,3.56,0.76,0.12,420.63,48.79,0.4,0.42
Chicken Liver,8.24,62.87,645.99,93.96,19.58,2.24,1.23,3.92,370.61,258.03,92.27,298.04,115.27,0.66,1.44,0.24,536.91,49.68,0.27,0.06
